% File: interest.arff
% by Dorin Diaconu, Georgiy Gegiya

@RELATION interest

@ATTRIBUTE prevwords string
@ATTRIBUTE nextwords string
@ATTRIBUTE prevtags string
@ATTRIBUTE nexttags string
@ATTRIBUTE senses {'readiness to give attention', 'quality of causing attention to be given to', 'activity, etc. that one gives attention to', 'advantage, advancement or favor', 'a share in a company or business', 'money paid for the use of money'}

@DATA
'generated areas', '', 'VBD NNS', '', 'readiness to give attention'
'', 'area expected', '', 'NN VBN', 'readiness to give attention'
'happening Xs', 'rates general', 'VBG VBZ', 'NNS JJ', 'money paid for the use of money'
'coX production', 'five offshore', 'NP NP', 'AB JJ', 'a share in a company or business'
'caused losses', 'payments debt', 'VBN NNS', 'NNS NN', 'money paid for the use of money'
'banks given', 'loans used', 'NNS VBN', 'NNS VBN', 'money paid for the use of money'
'cash postpone', 'payments', 'NN VBP', 'NNS', 'money paid for the use of money'
'cellular sell', 'southeast $', 'JJ VB', 'NP NN', 'a share in a company or business'
'Xs bush', 'cw ban', 'POS NP', 'NP NN', 'readiness to give attention'
'national uXsX', 'headed possibly', 'JJ NP', 'VBN RB', 'advantage, advancement or favor'
'insurance %', 'cieX navigation', 'NN NN', 'NP NP', 'a share in a company or business'
'speculative end', 'led flurries', 'JJ VB', 'VBN NNS', 'readiness to give attention'
'flurries led', 'stock past', 'NNS VBN', 'NN JJ', 'readiness to give attention'
'insurance much-coveted', 'hands powerful', 'NN JJ', 'NNS JJ', 'a share in a company or business'
'french existing', 'new holding', 'JJ VBG', 'JJ VBG', 'a share in a company or business'
'rate fixed', 'put loans', 'NN VBN', 'VB NNS', 'money paid for the use of money'
'domestic said', 'rates dropped', 'JJ VBD', 'NNS VBN', 'money paid for the use of money'
'uXsX', 'lies continuing', 'NP', 'VBZ VBG', 'advantage, advancement or favor'
'industrial-gas Xs', 'using proceeds', 'JJ POS', 'VBG NNS', 'a share in a company or business'
'annualized', 'rates certain', 'VBN', 'NNS JJ', 'money paid for the use of money'
'heavy generated', 'payments depreciation', 'JJ VBN', 'NNS NN', 'money paid for the use of money'
'sold rothschild', 'general partner', 'VBD NP', 'JJ NN', 'a share in a company or business'
'raise planning', '10 %', 'VB VBG', 'AB NN', 'a share in a company or business'
'signals corpX', 'handicapped workers', 'VBZ NP', 'JJ NNS', 'readiness to give attention'
'pushing given', 'rates trying', 'VBG VBN', 'NNS VBG', 'money paid for the use of money'
'expects sperandeo', 'rates rise', 'VBZ NP', 'NNS VB', 'money paid for the use of money'
'million 148', 'several oil', 'AB AB', 'JJ NN', 'a share in a company or business'
'working %', 'hartzog draw', 'VBG NN', 'NP NP', 'a share in a company or business'
'company give', '2,100 oil', 'NN VB', 'AB NN', 'a share in a company or business'
'million 6X5', 'payments due', 'AB AB', 'NNS JJ', 'money paid for the use of money'
'thread british', 'anti-competitive', 'NN JJ', 'JJ', 'a share in a company or business'
'minority tax', 'rose 4', 'NN NN', 'VBD AB', 'a share in a company or business'
'minority tax', 'extraordinary items', 'NN NN', 'JJ NNS', 'a share in a company or business'
'plus par', 'accrued redemption', 'CC NN', 'VBN NN', 'money paid for the use of money'
'annual foreign', 'rates guide', 'JJ JJ', 'NNS NN', 'money paid for the use of money'
'amounts huge', 'dollar Xs', 'NNS JJ', 'NN POS', 'money paid for the use of money'
'slows economy', 'rates fall', 'VBZ NN', 'NNS VB', 'money paid for the use of money'
'minority payments', 'rose 1X475', 'NN NNS', 'VBD AB', 'a share in a company or business'
'base payment', 'plus participation', 'JJ NN', 'CC NN', 'money paid for the use of money'
'pooling accounted', 'subject approval', 'NN VBN', 'JJ NN', 'a share in a company or business'
'reduces supply', 'rates', 'VBZ NN', 'NNS', 'money paid for the use of money'
'raise bundesbank', 'rates week', 'VB NP', 'NNS NN', 'money paid for the use of money'
'higher', 'rates abroad', 'JJR', 'NNS RB', 'money paid for the use of money'
'uXsX cut', 'rates part', 'NP VB', 'NNS NN', 'money paid for the use of money'
'high multiples', 'rates risen', 'JJ NNS', 'NNS VBN', 'money paid for the use of money'
'postpone seeking', 'payments nXt', 'VB VBG', 'NNS RB', 'money paid for the use of money'
'expressed colleagues', 'lower capital-gains', 'VBN NNS', 'JJR NNS', 'readiness to give attention'
'paying instead', '$ 60', 'VBG RB', 'NN AB', 'money paid for the use of money'
'insurance %', 'france Xs', 'NN NN', 'NP POS', 'a share in a company or business'
'higher fears', 'rates coming', 'JJR NNS', 'NNS VBG', 'money paid for the use of money'
'uXkX concerns', 'rates may', 'NP NNS', 'NNS MD', 'money paid for the use of money'
'damping meeting', 'stock trading', 'VBG NN', 'NN NN', 'readiness to give attention'
'', 'rates moved', '', 'NNS VBD', 'money paid for the use of money'
'german west', 'rates', 'JJ JJ', 'NNS', 'money paid for the use of money'
'taxes back', 'claimed favorable', 'NNS JJ', 'VBN JJ', 'money paid for the use of money'
'cash break', 'payments', 'NN NN', 'NNS', 'money paid for the use of money'
'% 20', 'call meeting', 'NN AB', 'VB NN', 'a share in a company or business'
'lost dealers', 'franchise', 'VBN NNS', 'NN', 'readiness to give attention'
'likelihood focused', 'rate increase', 'NN VBN', 'NN NN', 'money paid for the use of money'
'without', 'rate increase', 'IN', 'NN NN', 'money paid for the use of money'
'additional allowing', 'rates reduce', 'JJ VBG', 'NNS VB', 'money paid for the use of money'
'working %', 'acreage well', 'JJ NN', 'NN RB', 'a share in a company or business'
'% 60', 'aluminum energy', 'NN AB', 'NN NN', 'a share in a company or business'
'controlling acquire', 'harley-davidson seek', 'VBG VB', 'NP VB', 'a share in a company or business'
'soviet explaining', 'keen works', 'JJ VBG', 'JJ NNS', 'readiness to give attention'
'best operating', 'adoptee', 'JJS VBG', 'NN', 'advantage, advancement or favor'
'hcs netherlands-based', 'software hardware', 'NP JJ', 'NN NN', 'a share in a company or business'
'principal either', 'payments', 'NN DT', 'NNS', 'money paid for the use of money'
'paid nXt', 'medium-term long-term', 'VBD RB', 'JJ JJ', 'money paid for the use of money'
'security banks', 'assets extent', 'NN NNS', 'NNS NN', 'a share in a company or business'
'paying children', 'excess debt', 'VBG NNS', 'JJ NN', 'money paid for the use of money'
'mortgage value', 'deduction 15', 'NN NN', 'NN AB', 'money paid for the use of money'
'raised cir', 'olivetti 41', 'VBD NP', 'NP AB', 'a share in a company or business'
'unwelcome recent', 'stock', 'JJ JJ', 'NN', 'readiness to give attention'
'tax settlement', 'obligations resulting', 'NN NN', 'NNS VBG', 'money paid for the use of money'
'recognition deferred', 'income earned', 'NN VBN', 'NN VBN', 'money paid for the use of money'
'accrued malato', 'end suspension', 'JJ NP', 'VB NN', 'money paid for the use of money'
'consumers money', 'taxes totals', 'NNS NN', 'NNS VBZ', 'money paid for the use of money'
'best justified', 'shareowners customers', 'JJS JJ', 'NNS NNS', 'advantage, advancement or favor'
'reduced dexter', 'grafil 1987', 'VBD NP', 'NP AB', 'a share in a company or business'
'rate doughnut', '', 'NN NN', '', 'money paid for the use of money'
'equity X', 'calabasas califX-based', 'NN POS', 'NP JJ', 'a share in a company or business'
'high half', 'rates crimp', 'JJ NN', 'NNS VB', 'money paid for the use of money'
'swings protection', 'rates certain', 'NNS NN', 'NNS JJ', 'money paid for the use of money'
'information enough', 'potential foreign', 'NN JJ', 'JJ JJ', 'quality of causing attention to be given to'
'lack', 'latest bad', 'NN', 'JJS JJ', 'readiness to give attention'
'inflation-adjusted real', 'rates', 'JJ JJ', 'NNS', 'money paid for the use of money'
'overnight raised', 'rate government', 'JJ VBD', 'NN NN', 'money paid for the use of money'
'engineering energy', 'said takeover', 'NN NN', 'VBD NN', 'a share in a company or business'
'domestic allowed', 'rates fall', 'JJ VBN', 'NNS VB', 'money paid for the use of money'
'pushing', 'rates march', 'VBG', 'NNS NP', 'money paid for the use of money'
'category double-b', 'coverage thin', 'NN JJ', 'NN JJ', 'money paid for the use of money'
'change unlikely', 'rate policy', 'NN JJ', 'NN NN', 'money paid for the use of money'
'pattern holding', 'rates meeting', 'NN VBG', 'NNS NN', 'money paid for the use of money'
'carries debt', 'rate 14', 'VBZ NN', 'NN AB', 'money paid for the use of money'
'debt increase', 'expense rating', 'NN VB', 'NN NN', 'money paid for the use of money'
'drop big', 'rates jones', 'NN JJ', 'NNS NP', 'money paid for the use of money'
'', 'rates declined', '', 'NNS VBD', 'money paid for the use of money'
'drop percentage-point', 'rates year', 'NN JJ', 'NNS NN', 'money paid for the use of money'
'shown investors', 'uXsX stocks', 'VBN NNS', 'NP NNS', 'readiness to give attention'
'reaffirmed 5', 'acquiring cooper', 'VBD AB', 'VBG NP', 'readiness to give attention'
'much country', 'health care', 'RB NN', 'NN NN', 'advantage, advancement or favor'
'fight end', 'funds attached', 'NN VB', 'NNS VBN', 'readiness to give attention'
'insurance tobacco', '', 'NN NN', '', 'a share in a company or business'
'', 'rates fell', '', 'NNS VBD', 'money paid for the use of money'
'net', 'margin -', 'JJ', 'NN ?', 'money paid for the use of money'
'vaX mclean', 'defense work', 'NP NP', 'NN NN', 'a share in a company or business'
'annual foreign', 'rates guide', 'JJ JJ', 'NNS NN', 'money paid for the use of money'
'% 60', 'kendall gold', 'NN AB', 'NP NN', 'a share in a company or business'
'short-term manipulates', 'rates', 'JJ VBZ', 'NNS', 'money paid for the use of money'
'traces', 'reforming fed', 'VBZ', 'VBG NP', 'readiness to give attention'
'long-term moderate', 'rates', 'JJ JJ', 'NNS', 'money paid for the use of money'
'short-term raise', 'rates yank', 'JJ VB', 'NNS VB', 'money paid for the use of money'
'drop immediate', 'rates financial', 'NN JJ', 'NNS JJ', 'money paid for the use of money'
'raising', 'rates high', 'VBG', 'NNS JJ', 'money paid for the use of money'
'money easy', 'rates means', 'NN JJ', 'NNS VBZ', 'money paid for the use of money'
'short-term prices', 'rate futures', 'JJ NNS', 'NN NNS', 'money paid for the use of money'
'rise portend', 'rates said', 'NN VB', 'NNS VBD', 'money paid for the use of money'
'higher', 'rates hurt', 'JJR', 'NNS VBP', 'money paid for the use of money'
'plus changes', 'payments', 'CC NNS', 'NNS', 'money paid for the use of money'
'lowering', 'rates enough', 'VBG', 'NNS RB', 'money paid for the use of money'
'speculation soared', 'rates continue', 'NN VBD', 'NNS VB', 'money paid for the use of money'
'strength picks', 'rates rise', 'NN VBZ', 'NNS VBP', 'money paid for the use of money'
'expects bank', 'rate federal', 'VBZ NP', 'NN JJ', 'money paid for the use of money'
'real happens', 'rates rates', 'JJ VBZ', 'NNS NNS', 'money paid for the use of money'
'growing yet', 'western businesses', 'VBG RB', 'JJ NNS', 'readiness to give attention'
'protect action', 'already notified', 'VB NN', 'RB VBN', 'advantage, advancement or favor'
'Xs said', 'self-regulator avoid', 'VBZ VBD', 'NN VB', 'advantage, advancement or favor'
'Xs sandner', 'abs shortly', 'POS NP', 'NP RB', 'a share in a company or business'
'indirect 1988', 'abs nXt', 'JJ AB', 'NP RB', 'a share in a company or business'
'allow never', 'influence thinking', 'VB RB', 'VB NN', 'advantage, advancement or favor'
'% 55', 'business', 'NN AB', 'NN', 'a share in a company or business'
'expressions recent', 'company ronald', 'NNS JJ', 'NN NP', 'readiness to give attention'
'equity least', 'MGMNP jvcvictor', 'NN JJS', '? NP', 'a share in a company or business'
'pursue resigned', '', 'VB VBD', '', 'activity, etc. that one gives attention to'
'community personal', 'including ballet', 'NN JJ', 'VBG NP', 'activity, etc. that one gives attention to'
'japanese german', 'rates damp', 'JJ JJ', 'NNS VB', 'money paid for the use of money'
'lower says', 'rates relieve', 'VB VBZ', 'NNS VB', 'money paid for the use of money'
'german west', 'rates', 'JJ JJ', 'NNS', 'money paid for the use of money'
'uXsX reckons', 'rates set', 'NP VBZ', 'NNS VBN', 'money paid for the use of money'
'increase germans', 'rates significantly', 'VB NPS', 'NNS RB', 'money paid for the use of money'
'suspended resorts', 'payments bonds', 'VBN NPS', 'NNS NNS', 'money paid for the use of money'
'possible rumors', 'bass family', 'JJ NNS', 'NP NN', 'readiness to give attention'
'speculation takeover', 'nXt necessarily', 'NN NN', 'RB RB', 'readiness to give attention'
'', 'rates climbed', '', 'NNS VBD', 'money paid for the use of money'
'market steers', 'rates still', 'NN VBZ', 'NNS RB', 'money paid for the use of money'
'uXkX boost', 'rates', 'NP NN', 'NNS', 'money paid for the use of money'
'Xs government', 'served prohibiting', 'POS NN', 'VBN VBG', 'advantage, advancement or favor'
'common discuss', 'cutting capital', 'JJ VB', 'VBG NN', 'advantage, advancement or favor'
'expressed also', '', 'VBN RB', '', 'readiness to give attention'
'principal select', 'reduction options', 'NN VB', 'NN NNS', 'money paid for the use of money'
'principal payments', '$ 633X9', 'NN NNS', 'NN AB', 'money paid for the use of money'
'paying currently', 'debt principal', 'VBG RB', 'NN JJ', 'money paid for the use of money'
'minority tax', 'profit attributable', 'NN NN', 'NN JJ', 'a share in a company or business'
'minority charges', 'totaled #', 'NN NNS', 'VBD NN', 'a share in a company or business'
'high pressured', 'rates related', 'JJ JJ', 'NNS JJ', 'money paid for the use of money'
'takeover aware', 'company', 'NN JJ', 'NN', 'readiness to give attention'
'net squeeze', 'margins -', 'JJ NN', 'NNS ?', 'money paid for the use of money'
'net Xs', 'margin narrowed', 'JJ POS', 'NN VBD', 'money paid for the use of money'
'possible uXsX', 'marketing drug', 'JJ NP', 'VBG NN', 'readiness to give attention'
'Xs american', 'deal motivated', 'POS NP', 'NN VBN', 'readiness to give attention'
'aware', 'financial buyers', 'JJ', 'JJ NNS', 'readiness to give attention'
'capitalize house', 'hong kong', 'VB NN', 'NP NP', 'readiness to give attention'
'lot Xs', 'hong kong', 'NN VBZ', 'NP NP', 'readiness to give attention'
'attracting uic', 'overseas investors', 'VBG NP', 'JJ NNS', 'readiness to give attention'
'holds directly', '105 40', 'VBZ RB', 'AB AB', 'a share in a company or business'
'companies biggest', 'brewing financial', 'NNS JJS', 'NN JJ', 'a share in a company or business'
'protecting means', '', 'VBG NN', '', 'advantage, advancement or favor'
'sale pursue', 'showtime networks', 'NN VB', 'NP NPS', 'a share in a company or business'
'lower allow', 'costs significantly', 'VB VB', 'NNS RB', 'money paid for the use of money'
'Xs mrX', 'politics faded', 'POS NP', 'NNS VBD', 'readiness to give attention'
'% 12', 'enron oil', 'NN AB', 'NP NP', 'a share in a company or business'
'iv mark', 'company also', 'NP NP', 'NN RB', 'readiness to give attention'
'accrued plus', 'redemption date', 'JJ CC', 'NN NN', 'money paid for the use of money'
'artra', 'fashion jewelry', 'NP', 'NN NN', 'a share in a company or business'
'research merck', 'angiotensin ii', 'NN NP', 'NN AB', 'activity, etc. that one gives attention to'
'tuesday set', 'paid quarterly', 'NP VBN', 'VBN RB', 'money paid for the use of money'
'current 1989', 'bonds due', 'JJ AB', 'NNS JJ', 'money paid for the use of money'
'current %', 'bonds tentatively', 'JJ NN', 'NNS RB', 'money paid for the use of money'
'annual foreign', 'rates guide', 'JJ JJ', 'NNS NN', 'money paid for the use of money'
'best necessarily', 'says', 'JJS RB', 'VBZ', 'advantage, advancement or favor'
'sparking securities', 'otherwise quiet', 'VBG NNS', 'RB JJ', 'readiness to give attention'
'rise yields', 'rates fall', 'VBP NNS', 'NNS VBP', 'money paid for the use of money'
'drop prices', 'rates soared', 'VB NNS', 'NNS VBD', 'money paid for the use of money'
'priced notes', 'rate float', 'VBN NNS', 'NN VB', 'money paid for the use of money'
'% 17', 'payments repay', 'NN AB', 'NNS VB', 'money paid for the use of money'
'annual', 'payments $', 'JJ', 'NNS NN', 'money paid for the use of money'
'smaller meant', 'payments provided', 'JJR VBN', 'NNS VBN', 'money paid for the use of money'
'lower reserve', 'rates make', 'VB NP', 'NNS VB', 'money paid for the use of money'
